Id,Name,Number of Recordings,Latitude,Longitude,Altitude,Timezone,Skip,Group
2059,2017 Rush Ranch,9979,38.2080,-122.0140,6,America/Los_Angeles,,Solano County
3150,2018 Iron Point,1988,38.6470,-121.1040,172,America/Los_Angeles,,Iron Point
3348,2018 Markham Ravine Main,2165,38.8897,-121.4653,19,America/Los_Angeles,,Markham Ravine
3366,2018 Markham Ravine westside,818,38.8896,-121.4693,17,America/Los_Angeles,Dupe,Markham Ravine
3281,2018 Red Wing Ranch,2245,38.9622,-121.3453,33,America/Los_Angeles,,Placer County
2719,2018 Rush Ranch,9043,38.2080,-122.0140,6,America/Los_Angeles,,Solano County
82621,2018 SJWA WSS,1984,33.8690,-117.0860,434,America/Los_Angeles,,San Jacinto Wildlife Area
3417,2018 SJWA-rose-1,242,33.8690,-117.0860,434,America/Los_Angeles,Dupe,San Jacinto Wildlife Area
3682,2018 SJWA-rose-2,1154,33.8625,-117.0716,435,America/Los_Angeles,,San Jacinto Wildlife Area
5642,2019 Colusa NWR 27-1,5489,39.1441,-122.0293,14,America/Los_Angeles,,Sacramento National Wildlife Refuge Complex
4554,2019 Colusa NWR 27-1 LG,156,39.1441,-122.0293,14,America/Los_Angeles,Y,Sacramento National Wildlife Refuge Complex
5639,2019 Colusa NWR 27-1 telemetry station AM,2597,39.1370,-122.0260,13,America/Los_Angeles,Y,Sacramento National Wildlife Refuge Complex
5643,2019 Colusa NWR 27-2,1853,39.1375,-122.0281,13,America/Los_Angeles,,Sacramento National Wildlife Refuge Complex
4455,2019 Creed Road,8258,38.2410,-121.8880,12,America/Los_Angeles,,Solano County
4456,2019 Hay Landfill,6681,38.3060,-121.8250,6,America/Los_Angeles,,Solano County
4979,2019 Iron Point,7109,38.6470,-121.1040,172,America/Los_Angeles,,Iron Point
4457,2019 Iron Point LG,2149,38.6470,-121.1040,172,America/Los_Angeles,Y,Iron Point
5613,2019 Laguna Seca,852,36.5840,-121.7560,228,America/Los_Angeles,Y,Monterey
4251,2019 Laguna Seca LG,2123,36.5843,-121.7560,229,America/Los_Angeles,Y,Monterey
4639,2019 Leisure Town,8075,38.3199,-121.9380,28,America/Los_Angeles,,Solano County
5637,2019 Markham Ravine,4251,38.8897,-121.4653,17,America/Los_Angeles,,Markham Ravine
5640,2019 Markham Ravine 2,4247,38.8866,-121.4653,21,America/Los_Angeles,,Markham Ravine
4491,2019 Markham Ravine 2 LG,1452,38.8866,-121.4653,21,America/Los_Angeles,Y,Markham Ravine
4492,2019 Markham Ravine LG,5164,38.8897,-121.4653,17,America/Los_Angeles,Y,Markham Ravine
5609,2019 Ohlone - Santa Lucia Preserve - AM,199,36.4692,-121.7937,318,America/Los_Angeles,Y,Monterey
4247,2019 Ohlone - Santa Lucia Preserve LG,2774,36.4692,-121.7937,308,America/Los_Angeles,Y,Monterey
28863,2019 Ohlone - Santa Lucia Preserve try 2,3828,36.4692,-121.7937,318,America/Los_Angeles,Y,Monterey
82630,2019 Red Wing Ranch,1148,38.9781,-121.3310,33,America/Los_Angeles,,Placer County
5638,2019 Rush Ranch,10399,38.2080,-122.0140,6,America/Los_Angeles,,Solano County
4188,2019 Rush Ranch LG,6618,38.2080,-122.0140,6,America/Los_Angeles,Y,Solano County
7657,2020 Conaway Ranch,1901,38.6390,-121.7090,9,America/Los_Angeles,,Central Sacramento Valley
2908,2020 Creed Road,5524,38.2410,-121.8880,12,America/Los_Angeles,,Solano County
57589,2020 Fort Ord,3621,36.5900,-121.7140,55,America/Los_Angeles,,Monterey
16223,2020 Fort Ord - Old,2732,36.5898,-121.7140,55,America/Los_Angeles,Y,Monterey
6199,2020 Hay Landfill,5499,38.3060,-121.8250,6,America/Los_Angeles,,Solano County
7650,2020 Iron Point,4014,38.6470,-121.1040,172,America/Los_Angeles,,Iron Point
6404,2020 Markham Ravine,1808,38.8897,-121.4653,19,America/Los_Angeles,,Markham Ravine
18572,2020 Ohlone - Santa Lucia Preserve,4240,36.4692,-121.7937,318,America/Los_Angeles,,Monterey
2915,2020 Rush Ranch,5497,38.2080,-121.0140,54,America/Los_Angeles,,Solano County
24130,2021 Colusa NWR 27-1,8731,39.1440,-122.0280,14,America/Los_Angeles,,Sacramento National Wildlife Refuge Complex
24221,2021 Colusa NWR 27-2,8621,39.1370,-122.0260,13,America/Los_Angeles,,Sacramento National Wildlife Refuge Complex
21652,2021 Conaway East,3297,38.6386,-121.7070,9,America/Los_Angeles,Dupe,Central Sacramento Valley
24652,2021 Conaway South,3298,38.6376,-121.7090,9,America/Los_Angeles,,Central Sacramento Valley
21591,2021 Conaway West,3387,38.6390,-121.7100,9,America/Los_Angeles,Dupe,Central Sacramento Valley
21681,2021 Creed Road,6874,38.2410,-121.8880,12,America/Los_Angeles,,Solano County
24122,2021 Dagnino Pond,5324,37.7459,-121.7440,180,America/Los_Angeles,,CNLM
21668,2021 Foley Ranch,2958,39.0769,-121.4940,21,America/Los_Angeles,,Central Sacramento Valley
21688,2021 Hale Road 2,2957,39.0839,-121.5160,18,America/Los_Angeles,,Central Sacramento Valley
11101,2021 Hay Landfill,5970,38.3060,-121.8250,6,America/Los_Angeles,,Solano County
24658,2021 Iron Point,6708,38.6470,-121.1040,172,America/Los_Angeles,,Iron Point
24606,2021 Kern 1,8142,35.6770,-118.2700,815,America/Los_Angeles,,Southern Sierra Research Station
24544,2021 Kern 2,7882,35.6200,-118.4760,756,America/Los_Angeles,,Southern Sierra Research Station
24641,2021 Kern 3,8030,35.7310,-118.1720,862,America/Los_Angeles,,Southern Sierra Research Station
24655,2021 Kern 4,7854,35.6660,-118.3070,805,America/Los_Angeles,,Southern Sierra Research Station
26534,2021 Kern 5,7911,35.6600,-118.3120,803,America/Los_Angeles,,Southern Sierra Research Station
26535,2021 Kern 6,7880,35.3955,-118.4490,1150,America/Los_Angeles,,Southern Sierra Research Station
26536,2021 Kern 7,7547,35.6710,-118.2900,809,America/Los_Angeles,,Southern Sierra Research Station
26432,2021 Markham Ravine,3894,38.8897,-121.4653,19,America/Los_Angeles,,Markham Ravine
24252,2021 Orchard Creek,5465,38.8467,-121.3061,28,America/Los_Angeles,,Placer County
24233,2021 Panoche Creek Preserve 1W,7507,36.5906,-120.7690,314,America/Los_Angeles,,CNLM
24232,2021 Panoche Creek Preserve 2E,7507,36.5907,-120.7650,307,America/Los_Angeles,,CNLM
